year,animal_type,outcome,region,region_total
1999,Dogs,Reclaimed,Australian Capital Territory,610
1999,Dogs,Reclaimed,New South Wales,3140
1999,Dogs,Reclaimed,Northern Territory,205
1999,Dogs,Reclaimed,Queensland,1392
1999,Dogs,Reclaimed,South Australia,2329
1999,Dogs,Reclaimed,Tasmania,516
1999,Dogs,Reclaimed,Victoria,7130
1999,Dogs,Reclaimed,Western Australia,1
1999,Dogs,Rehomed,Australian Capital Territory,1245
1999,Dogs,Rehomed,New South Wales,7525
1999,Dogs,Rehomed,Northern Territory,526
1999,Dogs,Rehomed,Queensland,5489
1999,Dogs,Rehomed,South Australia,1105
1999,Dogs,Rehomed,Tasmania,480
1999,Dogs,Rehomed,Victoria,4908
1999,Dogs,Rehomed,Western Australia,137
1999,Dogs,Other,Australian Capital Territory,12
1999,Dogs,Other,New South Wales,745
1999,Dogs,Other,Northern Territory,955
1999,Dogs,Other,Queensland,860
1999,Dogs,Other,South Australia,380
1999,Dogs,Other,Tasmania,168
1999,Dogs,Other,Victoria,1001
1999,Dogs,Other,Western Australia,6
1999,Dogs,Euthanized,Australian Capital Territory,360
1999,Dogs,Euthanized,New South Wales,9221
1999,Dogs,Euthanized,Northern Territory,9
1999,Dogs,Euthanized,Queensland,9214
1999,Dogs,Euthanized,South Australia,1701
1999,Dogs,Euthanized,Tasmania,599
1999,Dogs,Euthanized,Victoria,5217
1999,Dogs,Euthanized,Western Australia,18
1999,Cats,Reclaimed,Australian Capital Territory,111
1999,Cats,Reclaimed,New South Wales,201
1999,Cats,Reclaimed,Northern Territory,22
1999,Cats,Reclaimed,Queensland,206
1999,Cats,Reclaimed,South Australia,157
1999,Cats,Reclaimed,Tasmania,31
1999,Cats,Reclaimed,Victoria,884
1999,Cats,Reclaimed,Western Australia,0
1999,Cats,Rehomed,Australian Capital Territory,1442
1999,Cats,Rehomed,New South Wales,3913
1999,Cats,Rehomed,Northern Territory,269
1999,Cats,Rehomed,Queensland,3901
1999,Cats,Rehomed,South Australia,1055
