animal_type,category,suburb,date_range,city,area
Dog,Fencing Issues,sunnybank,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,sunnybank hills,2016-01-01,Brisbane,South Brisbane
Dog,Defecating In Public,sunnybank,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,sunnybank,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,calamvale,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,stretton,2016-01-01,Brisbane,South Brisbane
Dog,NA,annerley,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,forest lake,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,hawthorne,2016-01-01,Brisbane,East Brisbane
Dog,Defecating In Public,hawthorne,2016-01-01,Brisbane,East Brisbane
Dog,NA,carindale,2016-01-01,Brisbane,East Brisbane
Other Animal,NA,pullenvale,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,kalinga,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,wynnum,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,chermside west,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,the gap,2016-01-01,Brisbane,West Brisbane
Dog,Fencing Issues,tingalpa,2016-01-01,Brisbane,East Brisbane
Other Animal,NA,red hill,2016-01-01,Brisbane,Central Brisbane
Other Animal,Fox,burbank,2016-01-01,Brisbane,South Brisbane
NA,Attack On A Person,east brisbane,2016-01-01,Brisbane,Central Brisbane
NA,Attack On An Animal,fitzgibbon,2016-01-01,Brisbane,North Brisbane
Cat,Trapping,moorooka,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,inala,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,sherwood,2016-01-01,Brisbane,West Brisbane
Dog,NA,tingalpa,2016-01-01,Brisbane,East Brisbane
Dog,Too Many Animals,oxley,2016-01-01,Brisbane,West Brisbane
Other Animal,Pest / Feral Animal,forest lake,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,the gap,2016-01-01,Brisbane,West Brisbane
Dog,NA,mitchelton,2016-01-01,Brisbane,North Brisbane
Dog,NA,aspley,2016-01-01,Brisbane,North Brisbane
NA,NA,tarragindi,2016-01-01,Brisbane,South Brisbane
Cat,Trapping,brighton,2016-01-01,Brisbane,North Brisbane
NA,Attack On A Person,bridgeman downs,2016-01-01,Brisbane,North Brisbane
NA,Not An Attack,zillmere,2016-01-01,Brisbane,North Brisbane
NA,Attack On An Animal,shorncliffe,2016-01-01,Brisbane,North Brisbane
NA,Menacing,manly west,2016-01-01,Brisbane,East Brisbane
NA,Attack On An Animal,bracken ridge,2016-01-01,Brisbane,North Brisbane
Dog,Fencing Issues,kenmore,2016-01-01,Brisbane,West Brisbane
Dog,NA,upper kedron,2016-01-01,Brisbane,West Brisbane
Dog,Too Many Animals,salisbury,2016-01-01,Brisbane,South Brisbane
NA,Attack On An Animal,stafford heights,2016-01-01,Brisbane,North Brisbane
NA,Not An Attack,holland park,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,moorooka,2016-01-01,Brisbane,South Brisbane
Cat,NA,enoggera,2016-01-01,Brisbane,Central Brisbane
Dog,Fencing Issues,manly west,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,wynnum west,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,wynnum west,2016-01-01,Brisbane,East Brisbane
Dog,Fencing Issues,wynnum,2016-01-01,Brisbane,East Brisbane
NA,Not An Attack,greenslopes,2016-01-01,Brisbane,South Brisbane
Other Animal,Nuisance Animal,doolandella,2016-01-01,Brisbane,South Brisbane
Dog,Fencing Issues,carseldine,2016-01-01,Brisbane,North Brisbane
NA,NA,coopers plains,2016-01-01,Brisbane,South Brisbane
Cat,Trapping,runcorn,2016-01-01,Brisbane,South Brisbane
Dog,NA,parkinson,2016-01-01,Brisbane,South Brisbane
NA,Not An Attack,forest lake,2016-01-01,Brisbane,South Brisbane
