animal_type,category,suburb,area,date_range,city
Dog,Aggressive Animal,Alice River,Division 1,2020-06-01,Townsville
Dog,Noise,Alice River,Division 1,2020-06-01,Townsville
Dog,Noise,Alice River,Division 1,2020-06-01,Townsville
Dog,Private Impound,Alice River,Division 1,2020-06-01,Townsville
Dog,Wandering,Alice River,Division 1,2020-06-01,Townsville
Dog,Attack,Black River,Division 1,2020-06-01,Townsville
Dog,Enclosure,Black River,Division 1,2020-06-01,Townsville
Dog,Wandering,Black River,Division 1,2020-06-01,Townsville
Dog,Enclosure,Bluewater,Division 1,2020-06-01,Townsville
Dog,Enclosure,Bluewater,Division 1,2020-06-01,Townsville
Dog,Noise,Bluewater Park,Division 1,2020-06-01,Townsville
Dog,Noise,Bohle Plains,Division 1,2020-06-01,Townsville
Dog,Noise,Bohle Plains,Division 1,2020-06-01,Townsville
Dog,Noise,Bohle Plains,Division 1,2020-06-01,Townsville
Dog,Noise,Bohle Plains,Division 1,2020-06-01,Townsville
Cat,Private Impound,Bohle Plains,Division 1,2020-06-01,Townsville
Dog,Private Impound,Bohle Plains,Division 1,2020-06-01,Townsville
Dog,Aggressive Animal,Deeragun,Division 1,2020-06-01,Townsville
Dog,Aggressive Animal,Deeragun,Division 1,2020-06-01,Townsville
Dog,Aggressive Animal,Deeragun,Division 1,2020-06-01,Townsville
Dog,Attack,Deeragun,Division 1,2020-06-01,Townsville
Dog,Attack,Deeragun,Division 1,2020-06-01,Townsville
Dog,Enclosure,Deeragun,Division 1,2020-06-01,Townsville
Dog,Enclosure,Deeragun,Division 1,2020-06-01,Townsville
Dog,Noise,Deeragun,Division 1,2020-06-01,Townsville
Dog,Noise,Deeragun,Division 1,2020-06-01,Townsville
Dog,Noise,Deeragun,Division 1,2020-06-01,Townsville
Dog,Noise,Deeragun,Division 1,2020-06-01,Townsville
Dog,Noise,Deeragun,Division 1,2020-06-01,Townsville
Dog,Noise,Deeragun,Division 1,2020-06-01,Townsville
Cat,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Cat,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Cat,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Private Impound,Deeragun,Division 1,2020-06-01,Townsville
Dog,Wandering,Deeragun,Division 1,2020-06-01,Townsville
Dog,Wandering,Rollingstone,Division 1,2020-06-01,Townsville
Dog,Wandering,Rollingstone,Division 1,2020-06-01,Townsville
Dog,Noise,Shaw,Division 1,2020-06-01,Townsville
Dog,Wandering,Shaw,Division 1,2020-06-01,Townsville
Dog,Wandering,Shaw,Division 1,2020-06-01,Townsville
Dog,Noise,Toolakea,Division 1,2020-06-01,Townsville
Dog,Noise,Toolakea,Division 1,2020-06-01,Townsville
Dog,Enclosure,Yabulu,Division 1,2020-06-01,Townsville
Dog,Private Impound,Yabulu,Division 1,2020-06-01,Townsville
Dog,Private Impound,Yabulu,Division 1,2020-06-01,Townsville
Dog,Wandering,Alligator Creek,Division 10,2020-06-01,Townsville
Dog,Attack,Cluden,Division 10,2020-06-01,Townsville
Dog,Wandering,Cluden,Division 10,2020-06-01,Townsville
Dog,Wandering,Cluden,Division 10,2020-06-01,Townsville
Dog,Noise,Idalia,Division 10,2020-06-01,Townsville
Dog,Wandering,Idalia,Division 10,2020-06-01,Townsville
Dog,Wandering,Idalia,Division 10,2020-06-01,Townsville
Dog,Private Impound,Murray,Division 10,2020-06-01,Townsville
Dog,Enclosure,Oonoonba,Division 10,2020-06-01,Townsville
Dog,Enclosure,Oonoonba,Division 10,2020-06-01,Townsville
Dog,Noise,Oonoonba,Division 10,2020-06-01,Townsville
Dog,Noise,Oonoonba,Division 10,2020-06-01,Townsville
Dog,Noise,Oonoonba,Division 10,2020-06-01,Townsville
Dog,Noise,Oonoonba,Division 10,2020-06-01,Townsville
Dog,Noise,Oonoonba,Division 10,2020-06-01,Townsville
Dog,Aggressive Animal,Railway Estate,Division 10,2020-06-01,Townsville
Dog,Attack,Railway Estate,Division 10,2020-06-01,Townsville
